order_id,order_datetime,city,zone,restaurant,cuisine,items_count,order_value_egp,discount_egp,payment_method,courier_id,vehicle_type,distance_km,prep_minutes,promised_minutes,actual_minutes,customer_rating,customer_id,order_status,courier_notes,reordered_within_30d
ORD01538,1/5/2025 14:58,Minya,El-Mahatta,Sultan Grill,Grills,2,252,0,Cash,C073,Motorcycle,,21,25,31,4,U0094,Delivered,,1
ORD01373,3/6/2025 12:02,Minya,Corniche El-Nil,El-Nil Fish,Fish,1,126 EGP,24,Cash,C107,Motorcycle,1.1,26,25,27,5,U0039,Delivered,,1
ORD03350,5/16/2025 20:33,Minya,El-Gamaa,Bites Burger,Burgers,3,EGP 252,0,Cash,C096,Bicycle,6.6,12,35,49,4,U0660,Delivered,,0
ORD03758,31/01/2025 14:06,Minya,El-Sahel,Slice Minya,Pizza,1,120 EGP,0,Card,C087,Motorcycle,4.5,21,30,28,5,U0295,Delivered,,0
ORD03310,19/05/2025 21:21,Minya,El-Gamaa,Pizza Roma,Pizza,1,79 EGP,0,Cash,C009,Tuk-tuk,8.3,17,40,59,4,U0615,Delivered,,0
ORD02710,6/23/2025 14:27,New Minya,New Minya,Om Ali House,Desserts,5,272 EGP,0,Cash,C052,Motorcycle,12.8,4,45,39,5,U0793,Delivered,,1
ORD01019,2/4/2025 18:11,Minya,Ard Sultan,El-Abd Minya,Desserts,2,112 EGP,8,Cash,C013,Motorcycle,3.8,8,30,18,5,U1413,Delivered,,1
ORD01680,4/13/2025 14:41,Minya,Ard Sultan,El-Dawar,Egyptian,1,72 EGP,0,Cash,C043,Motorcycle,4.1,11,30,18,,U0754,Delivered,,0
ORD04081,1/27/2025 14:50,New Minya,New Minya,Pizza Roma,Pizza,1,93,16,Card,C030,Motorcycle,10.3,22,40,42,4,U0625,Delivered,,1
ORD02942,5/13/2025 19:21,Menia,El-Sahel,Om Ali House,Desserts,1,45 EGP,0,Cash,C070,Bicycle,5.9,4,35,44,4,U0767,Delivered,,1
ORD00284,2/9/2025 12:10,New Minya ,New Minya,El-Dawar,Egyptian,5,262,24,Wallet,C030,Motorcycle,10.1,12,40,39,4,U0393,Delivered,,1
ORD01449,20/04/2025 16:03,Minya,Nazlet Hussein,Tamara Sweets,Desserts,4,212 EGP,0,Cash,C080,Motorcycle,8.3,4,40,21,4,U0473,Delivered,,0
ORD00757,19/02/2025 17:45,Abu Qorqas,Abu Qurqas,Basbousa Bar,Desserts,5,238 EGP,47,Cash,C106,Motorcycle,17,9,55,52,,U0100,Delivered,,1
ORD02805,6/17/2025 19:04,Minya,Nazlet Hussein,Sultan Grill,Grills,3,365,0,Cash,C078,Bicycle,4.9,25,30,69,2,U0289,Delivered,,0
ORD03856,6/5/2025 20:39,El-Minya El-Gedida,New Minya,Foul El-Mahatta,Egyptian,6,330,0,Cash,C078,Motorcycle,12.2,10,45,44,5,U0371,Delivered,,1
ORD03738,1/8/2025 21:48,Minya,Ard Sultan,Sheikh El-Balad,Grills,1,163 EGP,36,Cash,C005,Motorcycle,3.4,32,30,58,4,U0127,Delivered,,1
ORD03321,5/30/2025 23:36, Minya,Wast El-Balad,El-Nil Fish,Fish,6,902 EGP,107,Cash,C039,Bicycle,3.2,20,25,37,4,U0673,Delivered,,0
ORD04072,3/7/2025 19:12,Minya,El-Mahatta,Koshary El-Sheikh,Egyptian,3,146,0,Cash,C060,Motorcycle,5.3,11,30,36,5,U0409,Delivered,,1
ORD03050,3/23/2025 22:53,Minya,Abu Helal,Crispy House,Burgers,2,EGP 196,47,Cash,C027,Motorcycle,3.5,18,30,24,5,U0282,Delivered,,0
ORD01133,3/13/2025 13:29,MINYA,El-Sahel,Burger Corniche,Burgers,4,EGP 262,16,Cash,C036,Motorcycle,2.9,17,25,18,5,U0842,Delivered,,1
ORD00592,5/1/2025 20:41,El-Minya,El-Mahatta,Sultan Grill,Grills,4,470 EGP,0,Card,C056,Bicycle,1.5,19,25,37,4,U1348,Delivered,,1
ORD01472,4/21/2025 19:19,new minya,New Minya,Slice Minya,Pizza,3,EGP 313,0,Cash,C023,Motorcycle,11.5,19,45,58,4,U0986,Delivered,,0
ORD03542,17/06/2025 13:47,MINYA,Shalaby,El-Nil Fish,Fish,2,382 EGP,0,Card,C079,Motorcycle,3.7,20,30,37,5,U0149,Delivered,,1
ORD01023,25/06/2025 22:06,Minya,Wast El-Balad,Basbousa Bar,Desserts,4,EGP 228,48,Card,C005,Motorcycle,2.3,16,25,19,4,U0806,Delivered,,1
ORD03296,2/14/2025 12:12,Minya,Wast El-Balad,El-Dawar,Egyptian,4,188 EGP,0,Cash,C091,Tuk-tuk,3.7,13,30,34,4,U0130,Delivered,,1
ORD03947,2/23/2025 13:00,Minya,Shalaby,Burger Corniche,Burgers,6,630 EGP,110,Card,C043,Bicycle,1.7,11,25,15,4,U0161,Delivered,,1
ORD01280,1/31/2025 19:27,ABU QURQAS,Abu Qurqas,Sheikh El-Balad,Grills,2,EGP 221,16,Wallet,C070,Motorcycle,16,28,55,84,3,U0689,Delivered,,0
ORD00581,6/23/2025 11:49,Minya,El-Sahel,Samak El-Balad,Fish,6,702 EGP,0,Card,C105,Tuk-tuk,4.8,19,30,33,4,U0379,Delivered,,1
ORD03355,6/8/2025 20:30,minya,Wast El-Balad,Forno Nile,Pizza,2,231,0,Cash,C078,Tuk-tuk,0.6,29,20,,,U0297,Cancelled,,
ORD04052,2/17/2025 13:15,Minya,El-Mahatta,Pizza Roma,Pizza,1,87 EGP,5,Cash,C022,Motorcycle,1.9,19,25,23,,U0217,Delivered,,1
ORD03005,4/15/2025 19:19,El-Minya,El-Mahatta,El-Dawar,Egyptian,3,EGP 163,35,Wallet,C064,Motorcycle,2.3,16,25,31,4,U0457,Delivered,,0
ORD01298,3/21/2025 18:01,minya,Abu Helal,El-Nil Fish,Fish,3,452,23,Wallet,C047,Tuk-tuk,5.4,23,30,47,4,U0967,Delivered,,0
ORD01519,6/8/2025 13:37,New Minya,New Minya,Samak El-Balad,Fish,2,290,0,Card,C033,Bicycle,11.1,20,45,96,2,U0006,Delivered,,0
ORD01456,5/11/2025 21:04, Minya,Ard Sultan,Bahary Corner,Fish,4,688 EGP,0,Card,C085,Bicycle,3,38,25,67,3,U0823,Delivered,,1
ORD02515,6/17/2025 20:56,New Minya,New Minya,Samak El-Balad,Fish,1,145,31,Cash,C062,Motorcycle,12.2,25,45,67,3,U0256,Delivered,,0
ORD00568,4/16/2025 19:18,Minya,Nazlet Hussein,Burger Corniche,Burgers,3,203,0,Cash,C039,Motorcycle,7.7,11,35,44,4,U0443,Delivered,,1
ORD00334,6/20/2025 19:39,Abu Qurqas,Abu Qurqas,Tamara Sweets,Desserts,6,EGP 230,0,Card,C100,Bicycle,18.8,13,60,153,,U0268,Delivered,,0
ORD03185,1/20/2025 11:10,Minya,Wast El-Balad,Slice Minya,Pizza,2,204 EGP,0,Cash,C072,Tuk-tuk,0.6,16,20,20,,U1375,Delivered,,1
ORD01957,5/14/2025 21:08, Minya,El-Gamaa,Pizza Roma,Pizza,6,EGP 455,29,Card,C070,Tuk-tuk,4.8,25,30,55,,U0461,Delivered,,0
ORD02090,2/14/2025 21:23,MINYA,Ard Sultan,Hadouta Masreya,Egyptian,4,EGP 133,0,Wallet,C059,Motorcycle,3.6,6,30,29,5,U1487,Delivered,,0
ORD02051,9/4/2025 17:38,New Minya,New Minya,El-Dawar,Egyptian,3,163 EGP,0,Card,C043,Bicycle,12.2,8,45,91,2,U0119,Delivered,,0
ORD03045,3/13/2025 20:51,MINYA,Wast El-Balad,Tamara Sweets,Desserts,1,EGP 75,0,Cash,C083,Motorcycle,1.6,11,25,27,4,U0623,Delivered,,0
ORD01614,7/1/2025 21:38,MINYA,El-Gamaa,Basbousa Bar,Desserts,1,66,10,Wallet,C004,Motorcycle,4.5,23,30,37,4,U0326,Delivered,,0
ORD01510,26/01/2025 14:58,minya,Ard Sultan,Samak El-Balad,Fish,2,252,0,Cash,C049,Motorcycle,4.8,23,30,42,3,U1249,Delivered,,1
ORD00379,4/18/2025 13:03,Minya,Corniche El-Nil,Bahary Corner,Fish,4,EGP 662,0,Wallet,C098,Motorcycle,2.3,31,25,41,4,U0267,Delivered,customer not answering,0
ORD01609,6/10/2025 22:32,Minya,Ard Sultan,Slice Minya,Pizza,2,EGP 200,0,Card,C054,Motorcycle,3.6,17,30,24,4,U0237,Delivered,,0
ORD00322,5/16/2025 13:28,minya,El-Gamaa,Sultan Grill,Grills,6,600 EGP,40,Card,C106,Motorcycle,7.3,21,35,37,,U0885,Delivered,,1
ORD00072,1/17/2025 21:19,Minya,Wast El-Balad,Koshary El-Sheikh,Egyptian,4,117 EGP,27,Wallet,C046,Motorcycle,3.9,14,30,32,5,U0135,Delivered,,1
ORD04123,5/30/2025 20:40,El Minya,Corniche El-Nil,Bahary Corner,Fish,5,766 EGP,40,Cash,C066,Bicycle,3.1,36,25,61,4,U0052,Delivered,,1
ORD02194,3/22/2025 12:17,Minya,Shalaby,Om Ali House,Desserts,5,296 EGP,46,Cash,C054,Tuk-tuk,4.1,13,30,19,5,U0634,Delivered,,1
ORD03996,2/10/2025 19:33,Minya,Abu Helal,Burger Corniche,Burgers,5,EGP 436,0,Card,C086,Motorcycle,2,14,25,25,5,U0146,Delivered,,1
ORD00832,3/25/2025 13:26, Abu Qurqas,Abu Qurqas,Samak El-Balad,Fish,5,874,0,Cash,C014,Motorcycle,15.2,19,50,53,5,U0626,Delivered,customer not answering,0
ORD02559,17/03/2025 13:31,Minya,Abu Helal,Pizza Roma,Pizza,2,224 EGP,0,Cash,C071,Motorcycle,3.9,18,30,24,4,U0602,Delivered,,0
ORD02123,19/05/2025 21:46,Minya,El-Sahel,Slice Minya,Pizza,1,93 EGP,0,Wallet,C032,Motorcycle,6.2,12,35,40,4,U0489,Delivered,,1
ORD00753,1/5/2025 19:44,Minya,Corniche El-Nil,El-Abd Minya,Desserts,3,EGP 206,0,Wallet,C042,Motorcycle,2.1,7,25,22,5,U1198,Delivered,,0
ORD02216,2/12/2025 21:14,NEW MINYA,New Minya,Koshary El-Sheikh,Egyptian,5,195,0,Card,C009,Motorcycle,12.1,14,45,58,,U0306,Delivered,,0
ORD02607,3/15/2025 23:25,Minya,El-Mahatta,Tamara Sweets,Desserts,6,352 EGP,26,Cash,C085,Motorcycle,3.7,8,30,22,4,U0055,Delivered,,0
ORD00418,24/03/2025 19:58,MINYA,Ard Sultan,Pizza Roma,Pizza,6,EGP 687,0,Cash,C089,Bicycle,1.9,16,25,36,5,U0816,Delivered,,0
ORD00154,3/3/2025 20:27,Minya,El-Gamaa,Hadouta Masreya,Egyptian,1,57,10,Cash,C019,Motorcycle,5.8,17,35,48,,U0599,Delivered,,1
ORD02261,4/24/2025 12:35,Minya,Abu Helal,Tamara Sweets,Desserts,1,73 EGP,0,Cash,C008,Motorcycle,4.7,13,30,24,5,U0268,Delivered,,1
ORD03888,1/23/2025 21:39,Minya,Wast El-Balad,Sultan Grill,Grills,2,EGP 324,0,Cash,C075,Tuk-tuk,2.7,15,25,37,5,U0553,Delivered,,1
ORD04065,2/18/2025 14:59,New Minya ,New Minya,Bahary Corner,Fish,6,900 EGP,0,Cash,C110,Motorcycle,10.1,31,40,54,,U0271,Delivered,,0
ORD03039,10/2/2025 15:19,Minya,Abu Helal,El-Dawar,Egyptian,4,174 EGP,0,Card,C044,Motorcycle,4.2,14,30,30,4,U0814,Delivered,,1
ORD02399,4/14/2025 15:08,new minya,New Minya,El-Abd Minya,Desserts,1,EGP 46,0,Cash,C109,Bicycle,10.4,13,40,84,,U0464,Delivered,,0
ORD01997,4/4/2025 12:32, Minya,Wast El-Balad,Bahary Corner,Fish,2,391 EGP,72,Card,C043,Motorcycle,1.4,35,25,32,5,U0176,Delivered,,1
ORD00976,29/03/2025 21:02,El-Minya,Shalaby,Koshary El-Sheikh,Egyptian,1,45 EGP,0,Cash,C030,Motorcycle,7,9,35,32,5,U0088,Delivered,,1
ORD02234,4/6/2025 15:11,Minya,Corniche El-Nil,Sheikh El-Balad,Grills,1,148 EGP,0,Cash,C098,Bicycle,2.2,38,25,,,U0714,Cancelled,,
ORD03108,3/17/2025 20:05,Abu Qurqas,Abu Qurqas,Bites Burger,Burgers,6,635,0,Cash,C034,Bicycle,14.1,7,50,103,,U0753,Delivered,,0
ORD00917,3/31/2025 22:50,Minya,Abu Helal,Foul El-Mahatta,Egyptian,6,232 EGP,0,Cash,C109,Motorcycle,3.3,14,25,13,4,U1247,Delivered,,0
ORD00302,4/28/2025 14:59,Minya,El-Gamaa,Samak El-Balad,Fish,6,699,0,Wallet,C058,Bicycle,7.2,22,35,48,3,U1089,Delivered,,0
ORD03028,2/8/2025 14:05,NEW MINYA,New Minya,Burger Corniche,Burgers,1,95 EGP,12,Cash,C040,Motorcycle,10.9,12,45,38,5,U1089,Delivered,,0
ORD03533,3/25/2025 17:44, Minya,El-Mahatta,Pizza Roma,Pizza,6,EGP 597,0,Card,C101,Bicycle,2.7,15,25,30,5,U0342,Delivered,,0
ORD04180,2/5/2025 19:15,New Minya,New Minya,Foul El-Mahatta,Egyptian,4,180 EGP,0,Card,C032,Bicycle,11.4,4,45,89,2,U0579,Delivered,,0
ORD02428,4/3/2025 22:11,El Minya,El-Sahel,Hadouta Masreya,Egyptian,6,358 EGP,0,Cash,C030,Motorcycle,6,17,35,33,5,U0424,Delivered,,1
ORD00509,17/06/2025 20:24,Minya,Shalaby,Burger Corniche,Burgers,5,446 EGP,79,Cash,C006,Motorcycle,2.7,19,25,44,,U1397,Delivered,,0
ORD03370,1/8/2025 20:00,minya,El-Mahatta,El-Abd Minya,Desserts,6,290 EGP,0,Card,C047,Motorcycle,4,14,30,36,5,U0884,Delivered,,0
ORD00942,3/6/2025 14:46,MINYA,El-Gamaa,Tamara Sweets,Desserts,5,262 EGP,0,Cash,C069,Motorcycle,5.4,8,30,15,5,U0604,Delivered,,1
ORD01479,1/6/2025 19:18,Minya,El-Mahatta,Samak El-Balad,Fish,2,362 EGP,66,Card,C084,Tuk-tuk,3.7,21,30,43,,U1414,Delivered,,1
ORD02341,2/21/2025 21:09,minya,Corniche El-Nil,Sheikh El-Balad,Grills,1,123 EGP,12,Wallet,C062,Bicycle,2.4,34,25,,,U0596,Cancelled,,
ORD03266,1/3/2025 19:18,Minya,Corniche El-Nil,Farag Kebab,Grills,2,275 EGP,0,Card,C025,Motorcycle,2.7,25,25,36,,U1437,Delivered,,0
ORD02487,5/6/2025 18:18,Minya,Ard Sultan,Pizza Roma,Pizza,4,311,60,Card,C072,Motorcycle,4.3,19,30,34,,U0949,Delivered,,1
ORD00910,4/20/2025 19:47,MINYA,Nazlet Hussein,Burger Corniche,Burgers,5,364 EGP,0,Cash,C013,Motorcycle,8.2,13,40,37,5,U0061,Delivered,,1
ORD02012,1/30/2025 13:40, Abu Qurqas,Abu Qurqas,Foul El-Mahatta,Egyptian,6,EGP 256,0,Card,C084,Motorcycle,16.9,9,55,50,5,U0451,Delivered,,1
ORD01129,1/4/2025 21:25,New Minya ,New Minya,Bites Burger,Burgers,1,EGP 85,0,Card,C038,Tuk-tuk,10.8,18,45,68,3,U1489,Delivered,,1
ORD00701,5/7/2025 11:10,Minya,El-Gamaa,Koshary El-Sheikh,Egyptian,4,EGP 173,42,Cash,C047,Motorcycle,7.7,16,35,25,4,U0044,Delivered,,1
ORD02354,1/29/2025 12:41,Menia,Ard Sultan,Om Ali House,Desserts,2,EGP 129,0,Cash,C063,Motorcycle,4.7,14,30,28,5,U0113,Delivered,,1
ORD04010,4/3/2025 16:21,El Minya,El-Mahatta,Om Ali House,Desserts,1,EGP 70,0,Cash,C022,Motorcycle,1.4,13,25,20,,U0335,Delivered,,1
ORD00990,2/2/2025 13:10,Minya,Wast El-Balad,El-Dawar,Egyptian,1,EGP 52,0,Cash,C070,Bicycle,3.6,11,30,30,5,U0538,Delivered,,1
ORD03658,1/12/2025 14:00,Minya,Shalaby,Pizza Roma,Pizza,6,682 EGP,58,Wallet,C031,Tuk-tuk,3.4,17,30,26,5,U0866,Delivered,,0
ORD01113,4/13/2025 19:58,El-Minya,El-Sahel,El-Abd Minya,Desserts,6,384 EGP,0,Cash,C068,Motorcycle,4.1,4,30,24,4,U1263,Delivered,,1
ORD03698,5/1/2025 20:20,El-Minya,Ard Sultan,Farag Kebab,Grills,2,277,52,Wallet,C083,Motorcycle,3.4,20,30,41,4,U1464,Delivered,,0
ORD03353,3/4/2025 14:10,New Minya,New Minya,Sultan Grill,Grills,4,688 EGP,124,Wallet,C104,Tuk-tuk,12.4,17,45,59,,U1107,Delivered,,0
ORD03896,16/04/2025 12:51,Minya,Shalaby,El-Nil Fish,Fish,2,266,0,Card,C047,Tuk-tuk,3,26,25,36,,U0106,Delivered,,0
ORD01021,3/19/2025 18:42,Menia,Corniche El-Nil,Samak El-Balad,Fish,4,668 EGP,0,Cash,C010,Motorcycle,1.3,19,25,22,5,U0937,Delivered,customer not answering,1
ORD03144,2/4/2025 16:17,Menia,Wast El-Balad,El-Dawar,Egyptian,3,EGP 140,34,Card,C070,Bicycle,0.6,14,20,14,5,U0669,Delivered,address unclear,1
ORD00847,20/01/2025 13:10,Minya,Wast El-Balad,El-Dawar,Egyptian,4,184 EGP,0,Cash,C044,Motorcycle,4.1,11,30,23,5,U1315,Delivered,customer not answering,0
ORD01391,7/6/2025 21:46,Menia,El-Gamaa,Koshary El-Sheikh,Egyptian,5,143 EGP,0,Card,C091,Motorcycle,4.8,11,30,31,4,U1251,Delivered,,1
ORD01092,18/02/2025 20:38,Minya,Corniche El-Nil,Foul El-Mahatta,Egyptian,3,198 EGP,0,Card,C071,Motorcycle,2.4,15,25,32,4,U0608,Delivered,,0
ORD01639,2/28/2025 22:36,El Minya,Corniche El-Nil,El-Abd Minya,Desserts,4,EGP 217,0,Cash,C008,Bicycle,1.2,9,25,9,,U1383,Delivered,,1
ORD00057,2/7/2025 18:53,Abu Qurqas,Abu Qurqas,Samak El-Balad,Fish,2,271 EGP,0,Wallet,C049,Motorcycle,17.2,25,55,,,U0229,Cancelled,,
ORD02034,6/17/2025 19:58,Minya ,Ard Sultan,El-Abd Minya,Desserts,6,374,0,Cash,C085,Tuk-tuk,2.8,10,25,30,4,U0514,Delivered,,1
ORD00195,1/26/2025 12:37,minya,Abu Helal,Foul El-Mahatta,Egyptian,2,63,0,Card,C102,Motorcycle,2.7,11,25,9,4,U1269,Delivered,,1
ORD00227,3/5/2025 14:49,Minya,Ard Sultan,Om Ali House,Desserts,1,EGP 63,0,Wallet,C098,Motorcycle,3.1,7,25,16,5,U0238,Delivered,,1
ORD04151,4/8/2025 15:33,Minya,Shalaby,El-Abd Minya,Desserts,4,236 EGP,0,Card,C058,Motorcycle,4.5,10,30,20,5,U0128,Delivered,,1
ORD00130,5/29/2025 22:27,Minya,El-Sahel,Sultan Grill,Grills,2,EGP 304,21,Cash,C049,Bicycle,6,18,35,49,,U1351,Delivered,,0
ORD02950,3/12/2025 17:15,New Minya,New Minya,Sultan Grill,Grills,2,311 EGP,0,Card,C048,Motorcycle,10.4,24,40,56,,U1398,Delivered,,1
ORD03109,3/6/2025 13:38,El-Minya,Ard Sultan,Forno Nile,Pizza,4,492,0,Cash,C042,Bicycle,2.7,30,25,49,4,U0670,Delivered,,0
ORD00345,3/8/2025 12:48,Minya,Shalaby,Forno Nile,Pizza,2,148 EGP,8,Cash,C092,Tuk-tuk,4.8,34,30,52,,U0686,Delivered,,0
ORD02063,19/05/2025 13:41,Minya,Ard Sultan,Crispy House,Burgers,5,470 EGP,0,Cash,C109,Tuk-tuk,0.6,16,20,24,4,U1012,Delivered,,0
ORD02849,5/10/2025 20:36,minya,Ard Sultan,Sultan Grill,Grills,6,847 EGP,68,Cash,C018,Motorcycle,3.5,20,30,40,4,U0144,Delivered,customer not answering,1
ORD00885,3/28/2025 14:37,Minya,Abu Helal,El-Abd Minya,Desserts,4,233,0,Wallet,C003,Tuk-tuk,3.7,9,30,27,4,U1036,Delivered,,0
ORD01281,23/04/2025 14:21,Minya,Nazlet Hussein,El-Abd Minya,Desserts,6,331,0,Wallet,C004,Tuk-tuk,5.6,5,30,24,4,U0085,Delivered,,0
ORD03699,20/01/2025 21:26,Abu Qurqas,Abu Qurqas,Burger Corniche,Burgers,2,140 EGP,28,Cash,C068,Motorcycle,14.7,14,50,70,4,U1476,Delivered,,1
ORD00674,3/5/2025 11:00,Minya,El-Gamaa,Bahary Corner,Fish,5,827,156,Card,C045,Motorcycle,6.1,36,35,47,4,U0959,Delivered,customer not answering,0
